Temporada,Equipo,Liga,Puntos,Goles_Favor,Goles_Contra,Victorias,Empates,Derrotas,Presupuesto
2023-24,Barcelona,La Liga,82,75,35,25,7,6,900
2023-24,Real Madrid,La Liga,85,85,36,26,7,5,850
2023-24,Atletico Madrid,La Liga,76,72,28,23,7,8,500
2023-24,Valencia,La Liga,49,40,55,14,7,17,150
2023-24,Sevilla,La Liga,68,56,38,20,8,10,220
2023-24,Manchester City,Premier League,89,96,34,28,5,5,1200
2023-24,Arsenal,Premier League,84,88,29,26,6,6,800
2023-24,Liverpool,Premier League,82,86,41,24,10,4,750
2023-24,Manchester United,Premier League,60,57,58,18,6,14,950
2023-24,Chelsea,Premier League,63,77,63,18,9,11,1100
2023-24,Bayern Munich,Bundesliga,91,94,45,27,10,1,1000
2023-24,Borussia Dortmund,Bundesliga,73,68,52,21,10,7,400
2023-24,RB Leipzig,Bundesliga,65,58,48,18,11,5,350
2023-24,Bayer Leverkusen,Bundesliga,79,75,42,23,10,5,450
2023-24,Eintracht Frankfurt,Bundesliga,52,51,58,15,7,16,180
2023-24,PSG,Ligue 1,85,89,26,25,10,3,950
2023-24,AS Monaco,Ligue 1,70,68,54,20,10,8,200
2023-24,Olympique Lyon,Ligue 1,58,52,62,16,10,12,250
2023-24,Marseille,Ligue 1,63,58,55,18,9,11,180
2023-24,Lille,Ligue 1,55,48,58,15,10,13,120
