jugador_id,nombre,edad,equipo,posicion,torneo,goles,asistencias,partidos_jugados,minutos_jugados,tiros_al_arco,precision_pases,recuperaciones,tarjetas_amarillas,tarjetas_rojas,valor_mercado_estimado
1,Alejandro Martínez,17,Atlas Sub-20,Delantero,Liga MX Sub-20,12,5,18,1425,45,78.5,23,2,0,150000
2,Sofia Hernández,16,Chivas Femenil,Mediocampo,Liga MX Femenil Sub-18,3,18,20,1650,15,89.2,78,3,0,200000
3,Diego Ramírez,18,América Sub-20,Delantero,Liga MX Sub-20,15,3,19,1580,52,75.8,18,1,0,180000
4,Camila Torres,17,Tigres Femenil,Defensa,Liga MX Femenil Sub-18,1,4,22,1890,8,91.5,95,4,1,120000
5,José Luis Vega,16,Pumas Sub-20,Mediocampo,Liga MX Sub-20,6,12,17,1350,28,85.3,68,2,0,160000
6,Isabella García,18,Monterrey Femenil,Delantero,Liga MX Femenil Sub-18,14,7,21,1740,41,82.1,31,3,0,175000
7,Carlos Mendoza,17,Santos Sub-20,Defensa,Liga MX Sub-20,2,2,20,1620,12,88.7,89,5,0,140000
8,Valentina López,16,Atlas Femenil,Portero,Liga MX Femenil Sub-18,0,1,18,1620,0,45.2,5,1,0,110000
9,Ricardo Flores,18,Cruz Azul Sub-20,Mediocampo,Liga MX Sub-20,8,9,22,1800,31,87.4,72,3,1,165000
10,Mariana Díaz,17,León Femenil,Delantero,Liga MX Femenil Sub-18,11,6,19,1520,38,79.6,25,2,0,155000
11,Fernando Castro,16,Toluca Sub-20,Defensa,Liga MX Sub-20,3,1,21,1750,16,90.3,102,6,0,135000
12,Sofía Morales,18,Pachuca Femenil,Mediocampo,Liga MX Femenil Sub-18,4,15,20,1680,19,92.1,81,2,0,185000
13,Andrés Ruiz,17,Necaxa Sub-20,Delantero,Liga MX Sub-20,9,4,16,1280,34,76.9,22,1,0,145000
14,Daniela Herrera,16,Tijuana Femenil,Defensa,Liga MX Femenil Sub-18,2,3,19,1615,11,89.8,87,3,0,125000
15,Miguel Torres,18,León Sub-20,Portero,Liga MX Sub-20,0,0,20,1800,0,52.1,8,2,0,120000
16,Ximena Vargas,17,Atlas Femenil,Mediocampo,Liga MX Femenil Sub-18,5,11,18,1440,23,86.7,65,4,0,170000
17,Gabriel Sánchez,16,Puebla Sub-20,Delantero,Liga MX Sub-20,7,2,15,1200,29,74.3,19,0,0,130000
18,Regina Jiménez,18,América Femenil,Defensa,Liga MX Femenil Sub-18,1,2,21,1785,7,93.2,98,3,0,145000
19,Pablo Guerrero,17,Tijuana Sub-20,Mediocampo,Liga MX Sub-20,4,8,19,1520,22,83.6,59,2,0,155000
